Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
600000,2.0472577,9.999999e-05,2.0,0.972864725074595,51.739894551845346,1.0231466,0.17624398,0.9763445459430634,0.13347320485964861,0.06828194,0.1418856,0.12166718,0.5643839
630000,2.213225,9.999998e-05,2.0,-0.3672678062725546,106.55357142857143,-0.085283756,0.15372086,-0.3659463582826512,0.23811433500211154,0.027801048,0.09327742,0.110220775,0.5739245
660000,2.2728724,9.999999e-05,2.0,-0.39217993885182434,230.62307692307692,-0.03323605,0.17396916,-0.3852260901664312,0.49663536577986983,0.017662209,0.083656564,0.10498322,0.55254024
690000,2.1998389,9.999999e-05,2.0,-0.4319906307206365,338.93023255813955,-0.068222396,0.1887826,-0.4421401571953434,0.6847693365409799,0.011984791,0.08285011,0.09853201,0.48588413
720000,2.238114,9.9999976e-05,2.0,-0.40371680705408963,403.5974025974026,-0.0036303601,0.178456,-0.39719994787714985,0.7500364669525114,0.009976577,0.086419664,0.09263151,0.49921608
750000,2.2773318,9.999999e-05,2.0,-0.41694992059819924,523.9464285714286,-0.021048062,0.17205232,-0.4310570939310959,0.9606719753605181,0.007926464,0.08737772,0.08692148,0.4744776
780000,2.2856276,9.999999e-05,2.0,-0.3709999177115575,523.3898305084746,0.02163474,0.16206609,-0.3728541746988135,0.8900974789097652,0.009106157,0.0749456,0.08619557,0.5219135
810000,2.2877755,9.9999976e-05,2.0,-0.33717452541145215,464.031746031746,0.05035287,0.17400919,-0.3371808955238925,0.8284896422354948,0.008458089,0.07298302,0.086334184,0.46859342
840000,2.3332477,1e-04,2.0,-0.3019651317263724,432.2173913043478,0.06839244,0.17618895,-0.30195644972980884,0.7454591211862862,0.0089847725,0.08260022,0.0839947,0.48283148
870000,2.3405368,9.999998e-05,2.0,-0.40345798664883104,467.7741935483871,0.05565342,0.1649288,-0.3970507430651831,0.7847571693479068,0.008309935,0.079256214,0.08043623,0.47348556
900000,2.353128,9.9999976e-05,2.0,-0.3596031977239229,506.9016393442623,0.0118016135,0.15031113,-0.3498466022933523,0.7939448181229333,0.008022954,0.07414525,0.07731584,0.45440027
930000,2.394345,9.9999976e-05,2.0,-0.33202953882223313,554.0370370370371,-0.014313262,0.14856939,-0.3404369792314591,0.8881324902306207,0.0077596935,0.0761095,0.07765763,0.44713953
960000,2.4298444,9.999998e-05,2.0,-0.30067611174331793,475.0952380952381,0.039362665,0.15752754,-0.30847612691540566,0.7303412965912786,0.008394022,0.07885962,0.07659682,0.49971005
990000,2.4833379,9.999998e-05,2.0,-0.20167717193742812,655.9090909090909,-0.019341124,0.15279447,-0.19718660157587792,1.010145458439365,0.005752258,0.08025447,0.07429845,0.5265405
1020000,2.4956975,9.9999976e-05,2.0,-0.24262848600249395,563.7857142857143,0.04089594,0.13899145,-0.24705085754394532,0.8045671780339696,0.006702937,0.08410994,0.070793085,0.48094717
1050000,2.5177882,9.999998e-05,2.0,-0.24372060662351253,519.3448275862069,0.04056131,0.14119118,-0.24372064238735314,0.7636228388833717,0.0063035204,0.079691395,0.07222352,0.5123411
1080000,2.523491,9.999998e-05,2.0,-0.36761044025785705,525.2982456140351,0.045859586,0.14045772,-0.36760346303906355,0.7722815995578441,0.0061067566,0.07534786,0.07103432,0.5129148
1110000,2.5338745,9.999998e-05,2.0,-0.42974229246008966,497.3898305084746,0.013025392,0.13995214,-0.41777282454452275,0.7067854974766151,0.008117099,0.07538844,0.06918059,0.48129126
1140000,2.5302312,9.999998e-05,2.0,-0.17596268020218325,710.4186046511628,-0.007426292,0.13511002,-0.192390640114629,0.9733614749762468,0.004462894,0.069945134,0.067642055,0.49960396
1170000,2.5394588,9.999998e-05,2.0,-0.2990548107336508,573.3137254901961,-0.017620606,0.13014497,-0.29906268856104684,0.7965675243724357,0.0065767188,0.08228215,0.06754097,0.47360647
1200000,2.5442064,9.999998e-05,2.0,-0.23843913160061336,571.5098039215686,0.027925918,0.1338734,-0.23383841498826557,0.8106427074481661,0.0057352283,0.08509382,0.06805939,0.50066066
1230000,2.5890665,9.9999976e-05,2.0,-0.16475804337079714,699.2325581395348,-0.010889944,0.13091072,-0.16475810145222863,0.9595155293273545,0.004925927,0.07451847,0.067057736,0.48854223
